Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,France,3,2,0,1,6,3,+3,6
2,Australia,3,2,0,1,3,4,−1,6
3,Tunisia,3,1,1,1,1,1,0,4
4,Denmark,3,0,1,2,1,3,−2,1
