Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Uruguay,2,2,0,0,9,0,+9,4
2,Austria,2,2,0,0,6,0,+6,4
3,Czechoslovakia,2,0,0,2,0,7,−7,0
4,Scotland,2,0,0,2,0,8,−8,0
