Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,England,2,1,1,0,6,4,+2,3
2,Switzerland,2,1,0,1,2,3,−1,2[a]
3,Italy,2,1,0,1,5,3,+2,2[a]
4,Belgium,2,0,1,1,5,8,−3,1
