Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Italy (H),3,3,0,0,4,0,+4,6
2,Czechoslovakia,3,2,0,1,6,3,+3,4
3,Austria,3,1,0,2,2,3,−1,2
4,United States,3,0,0,3,2,8,−6,0
