Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Soviet Union,3,2,1,0,9,1,+8,5
2,France,3,2,1,0,5,1,+4,5
3,Hungary,3,1,0,2,2,9,−7,2
4,Canada,3,0,0,3,0,5,−5,0
