Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Brazil,3,2,1,0,5,1,+4,7
2,Switzerland,3,1,2,0,5,4,+1,5
3,Serbia,3,1,0,2,2,4,−2,3
4,Costa Rica,3,0,1,2,2,5,−3,1
