Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Argentina,3,2,1,0,8,0,+8,5
2,Brazil,3,2,1,0,6,1,+5,5
3,Poland,3,1,0,2,2,5,−3,2
4,Peru,3,0,0,3,0,10,−10,0
