Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Brazil,3,2,1,0,5,2,+3,7
2,Portugal,3,1,2,0,7,0,+7,5
3,Ivory Coast,3,1,1,1,4,3,+1,4
4,North Korea,3,0,0,3,1,12,−11,0
