Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Netherlands,3,1,2,0,7,2,+5,5
2,Mexico,3,1,2,0,7,5,+2,5
3,Belgium,3,0,3,0,3,3,0,3
4,South Korea,3,0,1,2,2,9,−7,1
