Pos,Team,Pld,W,D,L,GF,GA,GR,Pts
1,France,3,2,0,1,11,7,1.571,4
2,Yugoslavia,3,1,2,0,7,6,1.167,4
3,Paraguay,3,1,1,1,9,12,0.75,3
4,Scotland,3,0,1,2,4,6,0.667,1
