Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Brazil,3,2,1,0,8,2,+6,5
2,Yugoslavia,3,2,0,1,7,3,+4,4
3,Switzerland,3,1,1,1,4,6,−2,3
4,Mexico,3,0,0,3,2,10,−8,0
