Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Brazil (H),3,2,1,0,7,2,+5,7
2,Mexico,3,2,1,0,4,1,+3,7
3,Croatia,3,1,0,2,6,6,0,3
4,Cameroon,3,0,0,3,1,9,−8,0
