Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Romania,3,2,0,1,5,5,0,6
2,Switzerland,3,1,1,1,5,4,+1,4
3,United States (H),3,1,1,1,3,3,0,4
4,Colombia,3,1,0,2,4,5,−1,3
