Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,France,2,2,0,0,5,1,+4,4
2,Austria,2,0,1,1,2,3,−1,1
3,Northern Ireland,2,0,1,1,3,6,−3,1
