Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Cameroon,3,2,0,1,3,5,−2,4
2,Romania,3,1,1,1,4,3,+1,3
3,Argentina,3,1,1,1,3,2,+1,3
4,Soviet Union,3,1,0,2,4,4,0,2
