Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Switzerland,3,2,1,0,4,0,+4,7
2,France,3,1,2,0,3,1,+2,5
3,South Korea,3,1,1,1,3,4,−1,4
4,Togo,3,0,0,3,1,6,−5,0
