Pos,Team,Pld,W,D,L,GF,GA,GR,Pts
1,Portugal,3,3,0,0,9,2,4.5,6
2,Hungary,3,2,0,1,7,5,1.4,4
3,Brazil,3,1,0,2,4,6,0.667,2
4,Bulgaria,3,0,0,3,1,8,0.125,0
