Pos,Team,Pld,W,D,L,GF,GA,GR,Pts
1,Soviet Union,3,3,0,0,6,1,6.0,6
2,North Korea,3,1,1,1,2,4,0.5,3
3,Italy,3,1,0,2,2,2,1.0,2
4,Chile,3,0,1,2,2,5,0.4,1
