Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Portugal,3,3,0,0,5,1,+4,9
2,Mexico,3,1,1,1,4,3,+1,4
3,Angola,3,0,2,1,1,2,−1,2
4,Iran,3,0,1,2,2,6,−4,1
