Pos,Team,Pld,W,D,L,GF,GA,GR,Pts
1,West Germany,3,1,2,0,7,5,1.4,4
2,Northern Ireland,3,1,1,1,4,5,0.8,3
3,Czechoslovakia,3,1,1,1,8,4,2.0,3
4,Argentina,3,1,0,2,5,10,0.5,2
