Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Colombia,3,3,0,0,9,2,+7,9
2,Greece,3,1,1,1,2,4,−2,4
3,Ivory Coast,3,1,0,2,4,5,−1,3
4,Japan,3,0,1,2,2,6,−4,1
