Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Belgium,3,3,0,0,4,1,+3,9
2,Algeria,3,1,1,1,6,5,+1,4
3,Russia,3,0,2,1,2,3,−1,2
4,South Korea,3,0,1,2,3,6,−3,1
