Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Romania,3,2,1,0,4,2,+2,7
2,England,3,2,0,1,5,2,+3,6
3,Colombia,3,1,0,2,1,3,−2,3
4,Tunisia,3,0,1,2,1,4,−3,1
