Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Netherlands,3,2,1,0,6,1,+5,5
2,Sweden,3,1,2,0,3,0,+3,4
3,Bulgaria,3,0,2,1,2,5,−3,2
4,Uruguay,3,0,1,2,1,6,−5,1
