Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Italy,3,2,1,0,5,1,+4,7
2,Ghana,3,2,0,1,4,3,+1,6
3,Czech Republic,3,1,0,2,3,4,−1,3
4,United States,3,0,1,2,2,6,−4,1
