Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Brazil,3,3,0,0,7,1,+6,9
2,Australia,3,1,1,1,5,5,0,4
3,Croatia,3,0,2,1,2,3,−1,2
4,Japan,3,0,1,2,2,7,−5,1
