Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Uruguay,3,2,1,0,4,0,+4,7
2,Mexico,3,1,1,1,3,2,+1,4
3,South Africa (H),3,1,1,1,3,5,−2,4
4,France,3,0,1,2,1,4,−3,1
