Pos,Team,Pld,W,D,L,GF,GA,GR,Pts
1,Soviet Union,3,2,1,0,8,5,1.6,5
2,Yugoslavia,3,2,0,1,8,3,2.667,4
3,Uruguay,3,1,0,2,4,6,0.667,2
4,Colombia,3,0,1,2,5,11,0.455,1
