Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Netherlands,3,2,0,1,4,3,+1,6
2,Saudi Arabia,3,2,0,1,4,3,+1,6
3,Belgium,3,2,0,1,2,1,+1,6
4,Morocco,3,0,0,3,2,5,−3,0
