Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Brazil,3,3,0,0,4,1,+3,6
2,Costa Rica,3,2,0,1,3,2,+1,4
3,Scotland,3,1,0,2,2,3,−1,2
4,Sweden,3,0,0,3,3,6,−3,0
