Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Croatia,3,3,0,0,7,1,+6,9
2,Argentina,3,1,1,1,3,5,−2,4
3,Nigeria,3,1,0,2,3,4,−1,3
4,Iceland,3,0,1,2,2,5,−3,1
