Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Argentina,3,3,0,0,10,4,+6,6
2,Chile,3,2,0,1,5,3,+2,4
3,France,3,1,0,2,4,3,+1,2
4,Mexico,3,0,0,3,4,13,−9,0
