Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Brazil,3,2,1,0,6,1,+5,7
2,Sweden,3,1,2,0,6,4,+2,5
3,Russia,3,1,0,2,7,6,+1,3
4,Cameroon,3,0,1,2,3,11,−8,1
