Pos,Team,Pld,W,D,L,GF,GA,GR,Pts
1,West Germany,3,2,1,0,4,1,4.0,5
2,Chile,3,2,0,1,5,3,1.667,4
3,Italy,3,1,1,1,3,2,1.5,3
4,Switzerland,3,0,0,3,2,8,0.25,0
