Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Argentina,3,3,0,0,7,0,+7,9
2,Croatia,3,2,0,1,4,2,+2,6
3,Jamaica,3,1,0,2,3,9,−6,3
4,Japan,3,0,0,3,1,4,−3,0
