Pos,Team,Pld,W,D,L,GF,GA,GR,Pts
1,Brazil,3,2,1,0,4,1,4.0,5
2,Czechoslovakia,3,1,1,1,2,3,0.667,3
3,Mexico,3,1,0,2,3,4,0.75,2
4,Spain,3,1,0,2,2,3,0.667,2
