Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Argentina,3,2,1,0,6,2,+4,5
2,Italy,3,1,2,0,5,4,+1,4
3,Bulgaria,3,0,2,1,2,4,−2,2
4,South Korea,3,0,1,2,4,7,−3,1
