Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Argentina,3,2,1,0,8,1,+7,7
2,Netherlands,3,2,1,0,3,1,+2,7
3,Ivory Coast,3,1,0,2,5,6,−1,3
4,Serbia and Montenegro,3,0,0,3,2,10,−8,0
