Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Yugoslavia,2,2,0,0,6,1,+5,4
2,Brazil,2,1,0,1,5,2,+3,2
3,Bolivia,2,0,0,2,0,8,−8,0
