Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Costa Rica,3,2,1,0,4,1,+3,7
2,Uruguay,3,2,0,1,4,4,0,6
3,Italy,3,1,0,2,2,3,−1,3
4,England,3,0,1,2,2,4,−2,1
