Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Italy,2,2,0,0,5,3,+2,4
2,Brazil,2,1,0,1,5,4,+1,2
3,Argentina,2,0,0,2,2,5,−3,0
