Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Japan,3,2,0,1,4,3,+1,6
2,Spain,3,1,1,1,9,3,+6,4
3,Germany,3,1,1,1,6,5,+1,4
4,Costa Rica,3,1,0,2,3,11,−8,3
