2022-12-09 16:43:33,719 | dev  | INFO     | s_fifa_wc_matches.py | 0060 | crawl_matches | 1994 table 0: tag 'td' len: 36
2022-12-09 16:43:43,340 | dev  | INFO     | s_fifa_wc_matches.py | 0084 | crawl_matches | 1994 table 0: tag 'th' len: 16
2022-12-09 16:43:47,748 | dev  | INFO     | s_fifa_wc_matches.py | 0047 | crawl_matches | 1998 start
2022-12-09 16:43:48,176 | dev  | INFO     | s_fifa_wc_matches.py | 0060 | crawl_matches | 1998 table 0: tag 'td' len: 48
2022-12-09 16:44:01,495 | dev  | INFO     | s_fifa_wc_matches.py | 0084 | crawl_matches | 1998 table 0: tag 'th' len: 16
2022-12-09 16:44:06,043 | dev  | INFO     | s_fifa_wc_matches.py | 0047 | crawl_matches | 2002 start
2022-12-09 16:44:06,550 | dev  | INFO     | s_fifa_wc_matches.py | 0060 | crawl_matches | 2002 table 0: tag 'td' len: 0
2022-12-09 16:44:06,623 | dev  | INFO     | s_fifa_wc_matches.py | 0084 | crawl_matches | 2002 table 0: tag 'th' len: 64
2022-12-09 16:44:26,014 | dev  | INFO     | s_fifa_wc_matches.py | 0047 | crawl_matches | 2006 start
2022-12-09 16:44:26,569 | dev  | INFO     | s_fifa_wc_matches.py | 0060 | crawl_matches | 2006 table 0: tag 'td' len: 0
2022-12-09 16:44:26,638 | dev  | INFO     | s_fifa_wc_matches.py | 0084 | crawl_matches | 2006 table 0: tag 'th' len: 64
2022-12-09 16:44:47,427 | dev  | INFO     | s_fifa_wc_matches.py | 0047 | crawl_matches | 2010 start
2022-12-09 16:44:48,039 | dev  | INFO     | s_fifa_wc_matches.py | 0060 | crawl_matches | 2010 table 0: tag 'td' len: 64
2022-12-09 16:45:10,046 | dev  | INFO     | s_fifa_wc_matches.py | 0084 | crawl_matches | 2010 table 0: tag 'th' len: 64
2022-12-09 16:45:33,069 | dev  | INFO     | s_fifa_wc_matches.py | 0047 | crawl_matches | 2014 start
2022-12-09 16:45:33,622 | dev  | INFO     | s_fifa_wc_matches.py | 0060 | crawl_matches | 2014 table 0: tag 'td' len: 0
2022-12-09 16:45:33,709 | dev  | INFO     | s_fifa_wc_matches.py | 0084 | crawl_matches | 2014 table 0: tag 'th' len: 64
2022-12-09 16:45:58,008 | dev  | INFO     | s_fifa_wc_matches.py | 0047 | crawl_matches | 2018 start
2022-12-09 16:45:58,651 | dev  | INFO     | s_fifa_wc_matches.py | 0060 | crawl_matches | 2018 table 0: tag 'td' len: 0
2022-12-09 16:45:58,814 | dev  | INFO     | s_fifa_wc_matches.py | 0084 | crawl_matches | 2018 table 0: tag 'th' len: 64
2022-12-09 16:46:25,173 | dev  | INFO     | s_fifa_wc_matches.py | 0132 | get_results_history | [1930, 1934, 1938, 1950, 1954, 1958, 1962, 1966, 1970, 1974, 1978, 1982, 1986, 1990, 1994, 1998, 2002, 2006, 2010, 2014, 2018] end 2022-12-09 16:46:25.173405 ~ time crawl: 0:04:22.392446
2022-12-09 16:46:25,181 | dev  | INFO     | s_fifa_wc_matches.py | 0139 | get_results_history | end 21 years, done write file: data/fifa_worldcup_selenium_history.csv
