2022-12-09 15:54:56,967 | dev  | INFO     | fifa_wc_matches.py | 0044 | crawl_matches | 2006 ~ length matches: 100
2022-12-09 15:54:57,030 | dev  | INFO     | fifa_wc_matches.py | 0073 | crawl_matches | 2006 end
2022-12-09 15:54:57,031 | dev  | INFO     | fifa_wc_matches.py | 0035 | crawl_matches | 2010 start
2022-12-09 15:54:57,816 | dev  | INFO     | fifa_wc_matches.py | 0044 | crawl_matches | 2010 ~ length matches: 129
2022-12-09 15:54:57,828 | dev  | WARNING  | fifa_wc_matches.py | 0088 | ignore_match | 2010 ignore table has text: Preliminary events
2022-12-09 15:54:57,937 | dev  | INFO     | fifa_wc_matches.py | 0073 | crawl_matches | 2010 end
2022-12-09 15:54:57,938 | dev  | INFO     | fifa_wc_matches.py | 0035 | crawl_matches | 2014 start
2022-12-09 15:54:58,611 | dev  | INFO     | fifa_wc_matches.py | 0044 | crawl_matches | 2014 ~ length matches: 102
2022-12-09 15:54:58,670 | dev  | INFO     | fifa_wc_matches.py | 0073 | crawl_matches | 2014 end
2022-12-09 15:54:58,672 | dev  | INFO     | fifa_wc_matches.py | 0035 | crawl_matches | 2018 start
2022-12-09 15:54:59,342 | dev  | INFO     | fifa_wc_matches.py | 0044 | crawl_matches | 2018 ~ length matches: 100
2022-12-09 15:54:59,405 | dev  | INFO     | fifa_wc_matches.py | 0073 | crawl_matches | 2018 end
2022-12-09 15:54:59,406 | dev  | INFO     | fifa_wc_matches.py | 0131 | get_results_history | [1930, 1934, 1938, 1950, 1954, 1958, 1962, 1966, 1970, 1974, 1978, 1982, 1986, 1990, 1994, 1998, 2002, 2006, 2010, 2014, 2018] end 2022-12-09 15:54:59.406875 ~ time crawl: 0:00:11.272159
2022-12-09 15:54:59,413 | dev  | INFO     | fifa_wc_matches.py | 0138 | get_results_history | end 21 years, done write file: data/fifa_worldcup_history.csv
